Timestamp,Observed_DST,Real_dDST_dt,Pred_DST_Equation,Pred_dDST_dt_Equation,Injection_Component,Decay_Component,Pred_DST_Burton,Pred_dDST_dt_Burton,Pred_DST_OBM,Pred_dDST_dt_OBM,Pred_DST_DDM1,Pred_dDST_dt_DDM1,Pred_DST_DDM2,Pred_dDST_dt_DDM2,Pred_DST_DDM3,Pred_dDST_dt_DDM3
2013-05-30 00:00:00,-15.0,-1.0,-14.250837357831088,0.7491626421689125,-0.0,0.7491626421689125,-15.635450168012916,-0.6354501680129154,-15.634815352660254,-0.6348153526602551,-14.239629605204637,0.7603703947953622,-14.27236115,0.7276388499999998,-14.094408023320378,0.9055919766796225
2013-05-30 01:00:00,-16.0,2.0,-13.52510371497839,0.7257336428526971,-0.0,0.7257336428526971,-16.18837974150762,-0.5529295734947065,-16.187274992510957,-0.5524596398507018,-13.501046609730759,0.7385829954738782,-13.577941814912073,0.6944193350879273,-13.22965090105972,0.8647571222606583
2013-05-30 02:00:00,-14.0,2.0,-12.895803294255254,0.6293004207231375,-0.07409185108819076,0.7033922718113282,-16.66947793578274,-0.48109819427511863,-16.668036043105047,-0.4807610505940907,-12.78323354064179,0.7178130690889695,-12.915225395985349,0.6627164189267233,-12.40392047772099,0.825730423338731
2013-05-30 03:00:00,-12.0,-1.0,-12.26357717435552,0.6322261198997347,-0.05207618046311644,0.6843023003628511,-17.08826659395302,-0.41878865817027816,-17.086593589776754,-0.4185575466717065,-12.08687102182304,0.6963625188187496,-12.282764533040844,0.6324608629445055,-11.615288976134929,0.7886315015860601
2013-05-30 04:00:00,-13.0,0.0,-11.598189137185702,0.6653880371698175,-0.0,0.6653880371698175,-17.45310273906644,-0.3648361451134219,-17.45128253648638,-0.36468894670962665,-11.412889978457253,0.6739810433657871,-11.679177943464078,0.6035865895767666,-10.86188112648601,0.7534078496489187
2013-05-30 05:00:00,-13.0,0.0,-10.952421172227814,0.6457679649578885,-0.0,0.6457679649578885,-17.770661648260422,-0.31755890919398094,-17.768760593958298,-0.3174780574719167,-10.757991023828815,0.6548989546284387,-11.10314740550986,0.5760305379542173,-10.14239682046174,0.7194843060242697
2013-05-30 06:00:00,-13.0,1.0,-10.325413997571019,0.6270071746567953,-0.0,0.6270071746567953,-18.04708327027911,-0.27642162201868753,-18.04515296066955,-0.27639236671125234,-10.121450714474848,0.6365403093539668,-10.553414879330823,0.5497325261790362,-9.45531168567543,0.6870851347863092
2013-05-30 07:00:00,-12.0,1.0,-9.716357960940918,0.609056036630101,-0.0,0.609056036630101,-18.28780021073335,-0.24071694045424014,-18.285880114219484,-0.24072715354993288,-9.503086571602093,0.6183641428727542,-10.028779759442086,0.5246351198887373,-8.799105085220193,0.6562066004552372
2013-05-30 08:00:00,-11.0,0.0,-9.124489497878349,0.5918684630625702,-0.0,0.5918684630625702,-18.497306126095992,-0.20950591536264024,-18.495426096147,-0.20954598192751545,-8.901420326833557,0.6016662447685353,-9.52809625262148,0.5006835068206048,-8.172490809036205,0.6266142761839875
2013-05-30 09:00:00,-11.0,-1.0,-8.549087889637564,0.5754016082407845,-0.0,0.5754016082407845,-18.67953655682543,-0.18223043072943795,-18.677718638227727,-0.18229254208072623,-8.315373471753528,0.5860468550800287,-9.050270875518738,0.477825377102743,-7.574216645878238,0.5982741631579673
